id,bairro,especie,tipo_area,condicao,altura_m,dap_cm,area_copa_m2,data_inventario,necessita_poda,risco_queda,latitude,longitude,co2_absorvido_kg_ano
208,Graças,Flamboyant,Praça,Regular,9.5,93.9,27.7,2022-08-03,False,False,-7.94521,-34.99152,446.03
209,Apipucos,Pau-brasil,Área de lazer,Regular,15.8,18.5,1.08,2022-01-21,False,False,-8.129053,-34.981344,146.15
210,Ibura,Flamboyant,Parque,Crítica,13.8,127.6,51.15,2022-01-11,False,False,-7.951069,-34.890073,880.44
211,Água Fria,Mangueira (Mangifera indica),Parque,Boa,12.9,79.3,19.76,2022-05-27,True,True,-8.127115,-34.922588,511.49
212,Beberibe,Cajueiro,Canteiro,Boa,16.1,24.1,1.82,2022-07-13,False,False,-8.004388,-34.927624,194.01
213,Boa Viagem,Pau-brasil,Praça,Boa,11.1,126.1,49.96,2022-02-16,False,False,-8.037291,-34.791511,699.85
214,Dois Unidos,Amendoeira (Terminalia catappa),Praça,Ruim,3.2,92.6,26.94,2022-09-18,False,False,-8.156191,-34.986347,148.16
215,Apipucos,Jaqueira,Calçada,Boa,14.3,8.1,0.21,2022-12-21,False,False,-8.026,-35.010503,57.91
216,Água Fria,Jaqueira,Canteiro,Ruim,14.1,112.0,39.41,2022-01-14,False,False,-8.036057,-34.95015,789.6
217,Dois Unidos,Castanhola,Parque,Boa,3.6,39.0,4.78,2022-11-17,False,False,-8.043764,-34.830926,70.2
218,Boa Viagem,Cajueiro,Área de lazer,Regular,12.0,125.1,49.17,2022-03-19,True,False,-8.002922,-34.889107,750.6
219,Monteiro,Sibipiruna,Parque,Regular,19.2,104.2,34.11,2022-05-28,True,False,-8.010513,-35.014618,1000.32
220,Pina,Sibipiruna,Área de lazer,Crítica,10.7,116.8,42.86,2022-12-25,True,False,-8.054449,-35.014981,624.88
221,Arruda,Castanhola,Área de lazer,Regular,5.6,97.0,29.56,2022-05-13,True,False,-7.946318,-34.998791,271.6
222,Pina,Pau-brasil,Canteiro,Boa,13.1,125.1,49.17,2022-07-25,False,False,-8.076427,-34.896964,819.4
223,Jordão,Jaqueira,Praça,Ruim,17.7,130.6,53.58,2022-09-02,False,False,-8.108386,-34.869041,1155.81
224,Monteiro,Ficus benjamina,Calçada,Regular,15.8,46.4,6.76,2022-10-12,False,False,-8.164184,-34.911407,366.56
225,Apipucos,Ficus benjamina,Praça,Ruim,10.5,47.6,7.12,2022-10-13,True,False,-8.009261,-34.979838,249.9
226,Beberibe,Ficus benjamina,Praça,Regular,12.2,147.4,68.26,2022-10-21,True,False,-8.122939,-34.993968,899.14
227,Pina,Cajueiro,Praça,Boa,2.8,27.6,2.39,2022-06-23,True,False,-7.969834,-34.991272,38.64
228,Casa Forte,Ficus benjamina,Canteiro,Ruim,18.3,100.6,31.79,2022-08-11,True,False,-8.056126,-34.959652,920.49
229,Casa Forte,Castanhola,Canteiro,Ruim,16.1,124.1,48.38,2022-09-24,False,False,-8.103738,-34.911662,999.0
230,Boa Viagem,Sibipiruna,Canteiro,Boa,10.3,137.5,59.4,2022-08-25,True,False,-8.16316,-34.999026,708.12
231,Monteiro,Sibipiruna,Parque,Boa,8.2,130.7,53.67,2022-03-15,False,False,-7.938751,-34.933285,535.87
232,Pina,Pau-brasil,Canteiro,Ruim,9.2,141.1,62.55,2022-07-28,False,False,-8.021277,-34.940938,649.06
233,Casa Forte,Amendoeira (Terminalia catappa),Área de lazer,Boa,8.0,33.8,3.59,2022-06-13,False,False,-8.08263,-34.881302,135.2
234,Casa Forte,Castanhola,Área de lazer,Ruim,14.1,11.0,0.38,2022-04-02,True,False,-8.087919,-34.898831,77.55
235,Apipucos,Cajueiro,Parque,Boa,10.6,130.8,53.75,2022-01-07,True,False,-7.996432,-34.794051,693.24
236,Imbiribeira,Castanhola,Canteiro,Ruim,12.5,15.7,0.77,2022-01-18,True,False,-8.13233,-34.830673,98.12
237,Pina,Sibipiruna,Praça,Ruim,5.7,68.6,14.78,2022-01-23,True,False,-7.952833,-34.904472,195.51
238,Imbiribeira,Castanhola,Praça,Regular,6.4,55.1,9.54,2022-09-04,False,True,-8.160133,-34.845252,176.32
239,Monteiro,Amendoeira (Terminalia catappa),Canteiro,Boa,9.7,82.7,21.49,2022-03-06,False,False,-8.009858,-34.876013,401.09
240,Monteiro,Flamboyant,Calçada,Boa,8.0,66.4,13.85,2022-06-14,False,False,-7.939421,-34.989991,265.6
241,Água Fria,Ficus benjamina,Calçada,Boa,18.3,135.6,57.77,2022-11-06,False,False,-8.116301,-34.923602,1240.74
242,Ibura,Castanhola,Canteiro,Ruim,7.0,128.9,52.2,2022-06-11,True,False,-8.028841,-34.8779,451.15
243,Água Fria,Castanhola,Parque,Crítica,3.8,130.3,53.34,2022-12-17,False,False,-8.041022,-34.871322,247.57
244,Graças,Ficus benjamina,Calçada,Boa,9.7,144.5,65.6,2022-04-22,False,False,-8.026182,-34.792899,700.82
245,Graças,Mangueira (Mangifera indica),Calçada,Regular,19.6,28.7,2.59,2022-11-12,False,False,-8.122813,-34.989036,281.26
246,Pina,Flamboyant,Área de lazer,Regular,7.2,140.6,62.1,2022-08-11,False,False,-8.048936,-34.798024,506.16
247,Apipucos,Castanhola,Área de lazer,Boa,10.0,67.3,14.23,2022-10-22,True,False,-8.063331,-34.792313,336.5
248,Imbiribeira,Sibipiruna,Canteiro,Boa,4.2,26.2,2.16,2022-04-07,True,False,-8.092431,-34.870742,55.02
249,Jordão,Jaqueira,Canteiro,Boa,6.1,41.8,5.49,2022-03-18,False,False,-8.148552,-34.90089,127.49
250,Água Fria,Ficus benjamina,Canteiro,Boa,10.2,27.7,2.41,2022-03-21,True,False,-8.076079,-34.832832,141.27
251,Água Fria,Flamboyant,Praça,Regular,2.3,111.3,38.92,2022-06-13,False,False,-8.109815,-34.824276,127.99
252,Espinheiro,Ficus benjamina,Parque,Crítica,2.3,123.8,48.15,2022-08-03,True,False,-8.036943,-34.845557,142.37
253,Pina,Amendoeira (Terminalia catappa),Praça,Ruim,7.1,85.6,23.02,2022-01-17,True,False,-8.079407,-34.782647,303.88
254,Arruda,Oiti (Licania tomentosa),Área de lazer,Regular,4.7,5.7,0.1,2022-05-27,False,False,-7.975804,-34.865494,13.4
255,Espinheiro,Sibipiruna,Parque,Boa,12.7,47.9,7.21,2022-03-02,True,False,-8.166557,-34.841734,304.16
256,Monteiro,Amendoeira (Terminalia catappa),Praça,Boa,14.8,21.7,1.48,2022-02-01,True,True,-8.117607,-34.940426,160.58
257,Bomba do Hemetério,Amendoeira (Terminalia catappa),Área de lazer,Regular,10.7,59.8,11.23,2022-06-15,False,False,-8.135586,-34.886247,319.93
258,Imbiribeira,Sibipiruna,Calçada,Boa,9.9,110.5,38.36,2022-12-15,False,False,-7.93445,-34.908355,546.98
259,Dois Unidos,Mangueira (Mangifera indica),Praça,Ruim,11.0,147.2,68.07,2022-08-02,True,False,-8.011691,-34.806938,809.6
260,Água Fria,Amendoeira (Terminalia catappa),Parque,Boa,18.5,115.5,41.91,2022-07-13,False,False,-8.029342,-34.971961,1068.38
261,Espinheiro,Pau-brasil,Parque,Boa,14.0,75.6,17.96,2022-04-07,True,True,-8.027063,-35.008604,529.2
262,Arruda,Cajueiro,Canteiro,Crítica,7.6,81.9,21.07,2022-10-25,True,False,-8.144936,-34.932206,311.22
263,Espinheiro,Jaqueira,Parque,Boa,17.3,34.0,3.63,2022-11-07,False,False,-8.031704,-34.878491,294.1
264,Graças,Mangueira (Mangifera indica),Praça,Boa,9.5,67.3,14.23,2022-05-14,False,False,-8.144095,-34.870581,319.68
265,Jordão,Castanhola,Parque,Boa,8.9,63.0,12.47,2022-08-09,False,False,-8.113719,-34.815246,280.35
266,Monteiro,Pau-brasil,Parque,Ruim,14.6,18.0,1.02,2022-06-18,False,False,-8.165185,-34.904512,131.4
267,Água Fria,Flamboyant,Área de lazer,Regular,16.3,121.8,46.61,2022-12-18,False,False,-8.00365,-35.009817,992.67
268,Jordão,Jaqueira,Área de lazer,Ruim,4.5,134.7,57.0,2022-03-28,False,False,-8.143319,-35.010781,303.07
269,Pina,Oiti (Licania tomentosa),Praça,Boa,4.1,35.6,3.98,2022-12-26,True,True,-8.148112,-34.945262,72.98
270,Boa Viagem,Amendoeira (Terminalia catappa),Parque,Boa,4.5,14.5,0.66,2022-03-12,True,False,-7.960222,-34.815662,32.62
271,Pina,Amendoeira (Terminalia catappa),Área de lazer,Regular,16.3,58.0,10.57,2022-08-11,False,False,-8.140174,-34.870037,472.7
272,Imbiribeira,Sibipiruna,Área de lazer,Boa,19.3,109.2,37.46,2022-12-16,False,False,-8.136444,-34.845247,1053.78
273,Ibura,Amendoeira (Terminalia catappa),Calçada,Regular,13.5,68.8,14.87,2022-01-18,False,False,-7.966677,-34.986051,464.4
274,Graças,Flamboyant,Calçada,Crítica,8.1,118.1,43.82,2022-05-18,False,False,-8.042491,-34.853695,478.3
275,Pina,Castanhola,Praça,Crítica,7.2,22.9,1.65,2022-10-12,False,False,-8.000211,-34.932848,82.44
276,Ibura,Amendoeira (Terminalia catappa),Praça,Boa,14.0,136.9,58.88,2022-03-12,True,False,-8.062137,-35.017536,958.3
277,Imbiribeira,Flamboyant,Área de lazer,Boa,18.6,23.2,1.69,2022-05-11,False,True,-7.94491,-34.961355,215.76
278,Pina,Mangueira (Mangifera indica),Área de lazer,Boa,18.1,136.4,58.45,2022-12-02,False,False,-7.944645,-34.912076,1234.42
279,Pina,Pau-brasil,Calçada,Regular,17.7,74.0,17.2,2022-10-11,True,False,-8.017015,-34.911976,654.9
280,Água Fria,Flamboyant,Área de lazer,Boa,8.7,123.1,47.61,2022-01-14,True,False,-8.004993,-34.853345,535.48
281,Casa Forte,Oiti (Licania tomentosa),Canteiro,Ruim,13.1,67.7,14.4,2022-10-12,False,False,-7.982168,-34.92137,443.44
282,Beberibe,Flamboyant,Calçada,Boa,13.4,21.3,1.43,2022-10-25,False,True,-8.007029,-34.865172,142.71
283,Beberibe,Ficus benjamina,Canteiro,Boa,11.7,124.7,48.85,2022-01-25,False,False,-8.141624,-34.993712,729.5
284,Imbiribeira,Pau-brasil,Parque,Crítica,17.9,134.5,56.83,2022-10-09,True,False,-7.944876,-35.01062,1203.77
285,Pina,Amendoeira (Terminalia catappa),Área de lazer,Boa,5.0,39.6,4.93,2022-06-14,False,False,-8.065229,-34.825323,99.0
286,Apipucos,Jaqueira,Praça,Boa,15.6,123.8,48.15,2022-08-08,False,False,-8.038434,-34.843622,965.64
287,Água Fria,Sibipiruna,Calçada,Regular,12.5,102.6,33.07,2022-05-03,False,False,-7.973924,-34.934847,641.25
288,Graças,Oiti (Licania tomentosa),Parque,Ruim,14.1,34.1,3.65,2022-02-17,False,True,-8.155256,-34.8768,240.41
289,Arruda,Mangueira (Mangifera indica),Canteiro,Crítica,19.3,120.3,45.47,2022-11-10,False,True,-8.112872,-34.980624,1160.89
290,Beberibe,Pau-brasil,Calçada,Regular,7.8,140.2,61.75,2022-09-08,True,False,-7.970733,-34.830587,546.78
291,Dois Unidos,Jaqueira,Canteiro,Crítica,15.9,94.9,28.29,2022-11-27,False,False,-8.021123,-34.879011,754.46
292,Boa Viagem,Flamboyant,Parque,Boa,11.2,121.1,46.07,2022-09-02,False,False,-8.106859,-34.921654,678.16
293,Espinheiro,Sibipiruna,Canteiro,Ruim,8.1,87.5,24.05,2022-08-15,True,False,-8.111775,-34.804936,354.38
294,Boa Viagem,Amendoeira (Terminalia catappa),Calçada,Boa,2.5,111.0,38.71,2022-04-26,True,False,-7.935737,-35.002522,138.75
295,Bomba do Hemetério,Mangueira (Mangifera indica),Praça,Boa,19.8,124.5,48.7,2022-05-07,False,False,-8.137664,-34.970713,1232.55
296,Monteiro,Sibipiruna,Área de lazer,Boa,13.7,110.7,38.5,2022-01-15,False,False,-7.980164,-34.800837,758.29
297,Pina,Mangueira (Mangifera indica),Canteiro,Regular,8.8,98.8,30.67,2022-11-07,False,False,-7.987637,-35.014586,434.72
298,Monteiro,Amendoeira (Terminalia catappa),Canteiro,Boa,6.5,136.3,58.36,2022-01-03,False,False,-8.094345,-34.96117,442.98
299,Boa Viagem,Amendoeira (Terminalia catappa),Calçada,Regular,18.2,124.2,48.46,2022-04-06,True,False,-8.05093,-34.831484,1130.22
300,Arruda,Cajueiro,Parque,Ruim,10.7,146.6,67.52,2022-07-04,False,False,-8.105028,-34.844287,784.31
301,Beberibe,Ficus benjamina,Canteiro,Boa,7.8,119.9,45.16,2022-10-05,False,False,-7.969025,-34.909877,467.61
302,Bomba do Hemetério,Jaqueira,Canteiro,Ruim,10.1,119.8,45.09,2022-03-24,False,True,-7.932647,-34.840063,604.99
303,Monteiro,Cajueiro,Praça,Regular,7.3,19.2,1.16,2022-10-17,True,True,-8.074774,-34.88293,70.08
304,Dois Unidos,Oiti (Licania tomentosa),Praça,Boa,3.4,81.8,21.02,2022-01-02,False,True,-8.122503,-35.003245,139.06
305,Pina,Oiti (Licania tomentosa),Canteiro,Ruim,5.9,116.9,42.93,2022-08-19,False,False,-8.076821,-34.988414,344.86
306,Graças,Sibipiruna,Praça,Crítica,19.0,144.1,65.23,2022-06-22,False,False,-7.979688,-34.941839,1368.95
307,Graças,Castanhola,Parque,Regular,7.2,107.6,36.37,2022-02-28,False,False,-8.0719,-34.78324,387.36
308,Imbiribeira,Cajueiro,Área de lazer,Boa,2.4,144.8,65.87,2022-06-16,False,False,-8.013249,-34.902588,173.76
309,Ibura,Castanhola,Praça,Regular,15.5,127.7,51.23,2022-12-19,True,False,-8.122097,-34.897448,989.68
310,Água Fria,Jaqueira,Calçada,Regular,15.8,8.1,0.21,2022-07-06,True,False,-8.085039,-34.848001,63.99
311,Ibura,Pau-brasil,Área de lazer,Ruim,3.9,125.2,49.24,2022-07-15,False,False,-7.986148,-34.937804,244.14
312,Bomba do Hemetério,Castanhola,Parque,Boa,14.1,8.3,0.22,2022-09-27,False,False,-8.085456,-34.796926,58.52
313,Imbiribeira,Oiti (Licania tomentosa),Canteiro,Regular,11.4,68.6,14.78,2022-05-10,False,False,-8.124019,-34.986504,391.02
314,Imbiribeira,Amendoeira (Terminalia catappa),Praça,Boa,7.1,86.1,23.29,2022-11-01,True,True,-7.948703,-35.018814,305.65
315,Ibura,Mangueira (Mangifera indica),Parque,Ruim,15.5,16.7,0.88,2022-02-02,False,False,-7.975525,-34.8556,129.42
316,Apipucos,Amendoeira (Terminalia catappa),Área de lazer,Boa,4.2,77.6,18.92,2022-05-22,False,False,-7.947575,-34.96681,162.96
317,Ibura,Castanhola,Praça,Boa,19.1,141.6,62.99,2022-05-02,True,False,-8.141482,-34.97181,1352.28
318,Casa Forte,Amendoeira (Terminalia catappa),Parque,Boa,19.4,149.4,70.12,2022-12-07,False,True,-8.02258,-34.926502,1449.18
319,Boa Viagem,Sibipiruna,Calçada,Boa,15.0,108.1,36.71,2022-12-01,False,False,-8.111449,-34.968694,810.75
320,Dois Unidos,Cajueiro,Canteiro,Boa,13.2,44.3,6.17,2022-06-19,True,False,-8.078377,-34.799552,292.38
321,Graças,Amendoeira (Terminalia catappa),Área de lazer,Ruim,11.7,132.9,55.49,2022-10-28,False,True,-7.992752,-34.958999,777.47
322,Imbiribeira,Mangueira (Mangifera indica),Área de lazer,Regular,8.3,14.8,0.69,2022-11-18,False,False,-8.158894,-34.941479,61.42
323,Apipucos,Jaqueira,Área de lazer,Crítica,13.3,18.5,1.08,2022-02-04,True,False,-7.94283,-34.904862,123.03
324,Monteiro,Ficus benjamina,Parque,Boa,7.2,44.3,6.17,2022-09-23,False,False,-8.076934,-34.927058,159.48
325,Pina,Ficus benjamina,Praça,Boa,18.2,55.6,9.71,2022-05-01,True,False,-8.101201,-34.812875,505.96
326,Água Fria,Jaqueira,Praça,Ruim,19.6,75.2,17.77,2022-09-07,False,False,-7.96628,-34.916879,736.96
327,Monteiro,Cajueiro,Canteiro,Boa,14.1,79.3,19.76,2022-12-05,False,False,-8.105495,-34.965702,559.06
328,Casa Forte,Pau-brasil,Parque,Regular,2.4,145.8,66.78,2022-12-10,True,True,-7.937127,-34.881231,174.96
329,Apipucos,Ficus benjamina,Canteiro,Ruim,18.0,116.4,42.57,2022-12-15,False,False,-8.122866,-34.89819,1047.6
330,Apipucos,Amendoeira (Terminalia catappa),Calçada,Regular,6.3,123.2,47.68,2022-03-28,True,False,-7.981593,-34.958638,388.08
331,Apipucos,Amendoeira (Terminalia catappa),Parque,Crítica,10.3,51.4,8.3,2022-03-05,False,False,-7.935678,-34.986455,264.71
332,Água Fria,Oiti (Licania tomentosa),Praça,Regular,12.3,22.3,1.56,2022-08-10,False,False,-8.160753,-34.866625,137.15
333,Apipucos,Mangueira (Mangifera indica),Canteiro,Ruim,5.3,22.0,1.52,2022-03-24,False,True,-8.149474,-34.857077,58.3
334,Arruda,Mangueira (Mangifera indica),Praça,Boa,14.1,6.0,0.11,2022-07-21,True,False,-7.952195,-34.846326,42.3
335,Graças,Flamboyant,Canteiro,Boa,14.5,95.5,28.65,2022-11-20,True,False,-7.994421,-34.85025,692.38
336,Arruda,Oiti (Licania tomentosa),Área de lazer,Regular,15.3,17.5,0.96,2022-01-08,True,False,-8.16315,-34.977795,133.88
337,Água Fria,Oiti (Licania tomentosa),Área de lazer,Regular,16.1,101.4,32.3,2022-01-22,False,True,-8.042827,-34.916904,816.27
338,Pina,Pau-brasil,Calçada,Regular,16.8,16.0,0.8,2022-07-17,False,False,-8.123613,-34.929097,134.4
339,Espinheiro,Castanhola,Canteiro,Boa,12.7,50.1,7.89,2022-10-27,False,False,-8.084135,-34.831794,318.13
340,Casa Forte,Amendoeira (Terminalia catappa),Canteiro,Ruim,9.8,60.1,11.35,2022-04-27,True,False,-8.024755,-35.014346,294.49
341,Jordão,Amendoeira (Terminalia catappa),Calçada,Boa,12.7,126.8,50.51,2022-03-27,False,False,-8.146829,-34.960668,805.18
342,Ibura,Jaqueira,Calçada,Regular,16.8,81.5,20.87,2022-05-03,True,True,-8.068089,-34.842079,684.6
343,Boa Viagem,Flamboyant,Calçada,Regular,13.9,125.4,49.4,2022-09-21,False,False,-8.162782,-34.81579,871.53
344,Dois Unidos,Ficus benjamina,Parque,Crítica,8.9,92.1,26.65,2022-01-06,False,True,-7.938205,-34.792621,409.84
345,Pina,Sibipiruna,Área de lazer,Regular,15.7,76.7,18.48,2022-11-10,False,False,-8.075667,-34.96238,602.1
346,Ibura,Amendoeira (Terminalia catappa),Calçada,Regular,14.7,120.6,45.69,2022-10-07,True,False,-8.103922,-34.91693,886.41
347,Arruda,Sibipiruna,Praça,Boa,8.5,100.7,31.86,2022-03-15,False,False,-8.033869,-34.803675,427.98
348,Imbiribeira,Mangueira (Mangifera indica),Parque,Boa,2.1,102.7,33.14,2022-04-08,True,False,-8.132449,-34.932655,107.84
349,Monteiro,Pau-brasil,Canteiro,Boa,8.7,42.1,5.57,2022-02-14,True,True,-8.07683,-34.90096,183.13
350,Ibura,Amendoeira (Terminalia catappa),Parque,Ruim,14.5,55.3,9.61,2022-08-03,True,False,-8.084707,-34.870341,400.92
351,Jordão,Amendoeira (Terminalia catappa),Parque,Boa,4.7,46.5,6.79,2022-04-16,False,False,-8.073672,-34.978843,109.28
352,Imbiribeira,Ficus benjamina,Praça,Boa,12.9,42.5,5.67,2022-07-14,False,False,-8.086625,-34.801269,274.12
353,Ibura,Amendoeira (Terminalia catappa),Canteiro,Regular,16.0,20.2,1.28,2022-06-25,True,False,-7.951419,-34.999755,161.6
354,Bomba do Hemetério,Oiti (Licania tomentosa),Parque,Regular,9.3,7.8,0.19,2022-07-07,True,False,-8.154866,-35.008073,36.27
355,Pina,Ficus benjamina,Praça,Regular,9.8,52.5,8.66,2022-12-01,True,False,-8.096244,-34.848841,257.25
356,Graças,Castanhola,Canteiro,Ruim,11.9,22.7,1.62,2022-10-08,False,True,-7.967038,-34.915219,135.06
357,Ibura,Flamboyant,Canteiro,Crítica,13.3,55.2,9.57,2022-04-23,True,False,-8.12842,-35.016103,367.08
358,Apipucos,Amendoeira (Terminalia catappa),Canteiro,Boa,17.9,38.4,4.63,2022-08-02,False,False,-8.116516,-34.835193,343.68
359,Apipucos,Oiti (Licania tomentosa),Parque,Ruim,9.5,93.7,27.58,2022-05-23,True,True,-8.139712,-34.999079,445.07
360,Beberibe,Castanhola,Calçada,Ruim,5.7,116.6,42.71,2022-08-04,True,False,-8.058679,-34.883701,332.31
361,Graças,Mangueira (Mangifera indica),Parque,Boa,5.9,132.6,55.24,2022-09-07,False,True,-8.148917,-34.968923,391.17
362,Casa Forte,Mangueira (Mangifera indica),Calçada,Regular,9.4,60.5,11.5,2022-10-15,True,True,-8.021116,-34.839463,284.35
363,Graças,Pau-brasil,Praça,Regular,16.2,53.2,8.89,2022-12-19,True,False,-8.133693,-34.859083,430.92
364,Imbiribeira,Mangueira (Mangifera indica),Área de lazer,Regular,8.7,135.4,57.6,2022-12-01,True,False,-7.97337,-34.941833,588.99
365,Bomba do Hemetério,Oiti (Licania tomentosa),Canteiro,Ruim,12.7,55.0,9.5,2022-02-16,True,False,-8.083225,-34.947168,349.25
366,Monteiro,Flamboyant,Calçada,Ruim,8.4,148.4,69.19,2022-03-12,False,False,-8.05287,-34.906684,623.28
367,Casa Forte,Ficus benjamina,Calçada,Crítica,18.8,39.1,4.8,2022-08-08,False,True,-8.107312,-34.817299,367.54
368,Ibura,Jaqueira,Canteiro,Boa,18.0,44.3,6.17,2022-02-22,False,False,-7.9844,-34.841723,398.7
369,Bomba do Hemetério,Cajueiro,Parque,Regular,9.7,115.6,41.98,2022-12-27,False,False,-8.154657,-34.854685,560.66
370,Jordão,Jaqueira,Canteiro,Boa,13.9,21.2,1.41,2022-09-21,True,False,-8.084861,-34.909331,147.34
371,Dois Unidos,Cajueiro,Praça,Ruim,16.5,79.6,19.91,2022-05-08,False,False,-8.069902,-34.847713,656.7
372,Pina,Sibipiruna,Calçada,Regular,14.9,138.3,60.09,2022-05-20,False,False,-8.001537,-35.005854,1030.34
373,Apipucos,Cajueiro,Canteiro,Boa,3.6,38.4,4.63,2022-12-02,True,False,-8.090383,-35.000925,69.12
374,Beberibe,Castanhola,Calçada,Regular,17.1,80.8,20.51,2022-09-10,False,True,-8.10165,-34.939196,690.84
375,Monteiro,Mangueira (Mangifera indica),Calçada,Boa,5.5,79.9,20.06,2022-09-01,False,True,-8.12666,-34.983031,219.73
376,Monteiro,Cajueiro,Canteiro,Boa,4.5,89.3,25.05,2022-06-04,False,False,-8.05589,-35.002553,200.92
377,Boa Viagem,Ficus benjamina,Área de lazer,Crítica,12.6,46.0,6.65,2022-05-05,True,False,-8.115761,-34.810702,289.8
378,Bomba do Hemetério,Mangueira (Mangifera indica),Calçada,Boa,16.7,138.1,59.92,2022-05-27,False,False,-8.154855,-34.816662,1153.13
379,Imbiribeira,Oiti (Licania tomentosa),Parque,Boa,15.1,119.8,45.09,2022-06-25,False,False,-8.117271,-34.813524,904.49
380,Monteiro,Ficus benjamina,Calçada,Ruim,16.4,136.8,58.79,2022-12-05,False,False,-8.107339,-34.992659,1121.76
381,Espinheiro,Ficus benjamina,Praça,Ruim,16.5,59.3,11.05,2022-11-02,True,False,-8.03123,-34.933876,489.22
382,Boa Viagem,Cajueiro,Parque,Crítica,3.3,76.0,18.15,2022-07-28,False,False,-7.95015,-34.838674,125.4
383,Beberibe,Jaqueira,Canteiro,Regular,7.0,96.8,29.44,2022-02-02,True,False,-8.165409,-34.986724,338.8
384,Monteiro,Castanhola,Canteiro,Crítica,14.5,49.7,7.76,2022-10-08,True,False,-7.971706,-34.971018,360.33
385,Beberibe,Mangueira (Mangifera indica),Área de lazer,Boa,13.2,129.9,53.01,2022-12-08,False,False,-8.012567,-34.845749,857.34
386,Imbiribeira,Amendoeira (Terminalia catappa),Praça,Boa,2.7,16.4,0.84,2022-05-01,False,False,-8.157593,-34.912305,22.14
387,Espinheiro,Pau-brasil,Calçada,Regular,10.5,49.4,7.67,2022-07-10,True,False,-7.959314,-34.828211,259.35
388,Bomba do Hemetério,Cajueiro,Área de lazer,Boa,17.2,71.2,15.93,2022-07-11,True,False,-8.060048,-34.899929,612.32
389,Ibura,Amendoeira (Terminalia catappa),Praça,Ruim,6.1,27.7,2.41,2022-05-01,False,True,-7.990536,-34.818613,84.48
390,Dois Unidos,Flamboyant,Praça,Ruim,13.8,17.8,1.0,2022-09-21,False,False,-7.936409,-34.787851,122.82
391,Arruda,Pau-brasil,Praça,Regular,7.8,26.3,2.17,2022-07-23,True,False,-8.085905,-34.915987,102.57
392,Bomba do Hemetério,Jaqueira,Calçada,Crítica,10.6,120.7,45.77,2022-01-08,False,False,-7.995797,-34.922613,639.71
393,Jordão,Amendoeira (Terminalia catappa),Área de lazer,Ruim,4.8,45.1,6.39,2022-06-12,True,False,-8.073899,-34.946352,108.24
394,Apipucos,Flamboyant,Área de lazer,Regular,11.3,93.1,27.23,2022-11-02,False,False,-7.972979,-34.970639,526.01
395,Casa Forte,Mangueira (Mangifera indica),Parque,Ruim,8.6,142.1,63.44,2022-07-07,False,False,-8.150895,-34.88828,611.03
396,Monteiro,Oiti (Licania tomentosa),Praça,Boa,8.2,24.5,1.89,2022-06-26,False,False,-7.96548,-34.866392,100.45
397,Água Fria,Sibipiruna,Calçada,Boa,18.7,47.3,7.03,2022-04-26,True,False,-8.005235,-34.896879,442.25
398,Casa Forte,Cajueiro,Praça,Boa,13.2,129.8,52.93,2022-12-22,False,False,-7.931318,-34.828128,856.68
399,Casa Forte,Pau-brasil,Canteiro,Boa,11.2,72.5,16.51,2022-03-23,False,False,-7.953719,-34.962396,406.0
400,Imbiribeira,Flamboyant,Parque,Crítica,2.4,23.1,1.68,2022-08-08,False,False,-8.106295,-34.8926,27.72
401,Graças,Amendoeira (Terminalia catappa),Praça,Regular,7.8,143.0,64.24,2022-11-01,True,False,-8.042404,-34.978749,557.7
402,Jordão,Ficus benjamina,Calçada,Ruim,2.5,53.6,9.03,2022-02-04,True,True,-8.159225,-34.991795,67.0
403,Dois Unidos,Cajueiro,Praça,Boa,18.6,77.6,18.92,2022-11-14,False,False,-8.047073,-34.954285,721.68
404,Espinheiro,Amendoeira (Terminalia catappa),Canteiro,Regular,12.5,8.2,0.21,2022-10-24,True,False,-8.02284,-34.845232,51.25
405,Pina,Pau-brasil,Parque,Regular,3.9,17.5,0.96,2022-10-15,False,False,-8.000064,-34.902176,34.12
406,Beberibe,Cajueiro,Calçada,Regular,9.5,32.4,3.3,2022-06-20,False,False,-8.07858,-34.907817,153.9
407,Imbiribeira,Pau-brasil,Calçada,Boa,11.4,130.9,53.83,2022-07-11,False,False,-8.013727,-34.998276,746.13
408,Boa Viagem,Flamboyant,Canteiro,Boa,11.3,58.0,10.57,2022-02-02,False,False,-7.994798,-34.850906,327.7
409,Dois Unidos,Oiti (Licania tomentosa),Canteiro,Boa,9.6,124.6,48.77,2022-05-20,False,False,-8.06988,-35.013363,598.08
410,Imbiribeira,Jaqueira,Parque,Boa,19.7,106.1,35.37,2022-04-23,False,False,-8.15984,-35.019495,1045.08
411,Imbiribeira,Oiti (Licania tomentosa),Parque,Boa,4.0,64.9,13.23,2022-10-28,True,False,-7.963874,-34.863898,129.8
412,Boa Viagem,Flamboyant,Calçada,Boa,8.1,19.7,1.22,2022-01-28,False,False,-7.931116,-34.789494,79.78
413,Monteiro,Ficus benjamina,Calçada,Boa,2.3,129.3,52.52,2022-04-19,False,False,-8.14509,-34.828503,148.69
414,Casa Forte,Pau-brasil,Praça,Ruim,6.6,103.2,33.46,2022-07-22,False,True,-8.014519,-34.980515,340.56
415,Arruda,Mangueira (Mangifera indica),Praça,Ruim,4.7,135.4,57.6,2022-12-24,False,True,-7.966916,-34.958811,318.19
