id,tipo_ocorrencia,bairro,nivel_risco_bairro,mes,ano,turno,vitimas,prisoes_efetuadas,latitude,longitude
274,Perturbação da ordem,Recife Antigo,médio,1,2022,Madrugada (00h-6h),1,0,-7.985165,-34.82859
275,Perturbação da ordem,Boa Viagem,médio,3,2022,Manhã (6h-12h),2,0,-7.980771,-34.813901
276,Roubo a veículo,Recife Antigo,médio,4,2022,Madrugada (00h-6h),1,0,-7.968983,-34.828644
277,Tráfico de drogas,Dois Unidos,alto,9,2023,Madrugada (00h-6h),1,0,-7.980357,-34.809729
278,Tráfico de drogas,Ibura,alto,4,2023,Tarde (12h-18h),0,0,-8.155581,-34.848868
279,Tráfico de drogas,Graças,baixo,11,2023,Tarde (12h-18h),1,1,-7.961891,-34.965294
280,Arrombamento,Espinheiro,baixo,3,2023,Tarde (12h-18h),1,0,-8.099634,-34.816197
281,Furto,Boa Viagem,médio,9,2023,Madrugada (00h-6h),0,1,-8.050896,-34.92425
282,Furto,Graças,baixo,3,2022,Noite (18h-00h),1,0,-8.15988,-34.926738
283,Furto,Imbiribeira,médio,7,2023,Noite (18h-00h),1,0,-8.011397,-34.99093
284,Lesão corporal,Jordão,alto,4,2022,Noite (18h-00h),1,1,-8.066046,-34.909577
285,Furto,Boa Viagem,médio,8,2023,Tarde (12h-18h),1,1,-8.169872,-34.782654
286,Arrombamento,Aflitos,baixo,7,2022,Manhã (6h-12h),1,1,-8.121569,-34.819332
287,Roubo a pedestre,Espinheiro,baixo,5,2023,Madrugada (00h-6h),1,1,-7.952066,-34.859234
288,Lesão corporal,Madalena,baixo,10,2022,Madrugada (00h-6h),1,1,-8.068688,-34.876005
289,Roubo a pedestre,Boa Viagem,médio,2,2022,Madrugada (00h-6h),0,1,-7.962036,-34.782501
290,Roubo a veículo,Beberibe,alto,7,2023,Madrugada (00h-6h),2,1,-8.144078,-34.995438
291,Lesão corporal,Espinheiro,baixo,9,2022,Manhã (6h-12h),0,1,-8.071956,-34.840065
292,Lesão corporal,Madalena,baixo,8,2022,Noite (18h-00h),1,1,-8.122195,-34.792572
293,Roubo a veículo,Madalena,baixo,8,2022,Madrugada (00h-6h),1,1,-8.059247,-34.815572
294,Perturbação da ordem,Ibura,alto,6,2022,Tarde (12h-18h),0,0,-8.112452,-34.940201
295,Roubo a pedestre,Casa Forte,baixo,10,2023,Tarde (12h-18h),0,0,-8.11354,-35.019511
296,Furto,Madalena,baixo,3,2023,Madrugada (00h-6h),0,0,-8.137919,-34.836049
297,Roubo a veículo,Boa Viagem,médio,3,2023,Noite (18h-00h),1,0,-8.078119,-34.824343
298,Homicídio,Ibura,alto,11,2022,Tarde (12h-18h),3,0,-8.101987,-34.897584
299,Perturbação da ordem,Recife Antigo,médio,2,2023,Noite (18h-00h),0,0,-8.164923,-34.818498
300,Lesão corporal,Imbiribeira,médio,1,2022,Madrugada (00h-6h),2,0,-8.090563,-34.999399
301,Furto,Aflitos,baixo,5,2022,Manhã (6h-12h),1,1,-8.049409,-34.824322
302,Furto,Aflitos,baixo,10,2023,Tarde (12h-18h),0,0,-8.027399,-34.878948
303,Furto,Recife Antigo,médio,12,2023,Tarde (12h-18h),0,0,-8.038769,-34.864485
304,Tráfico de drogas,Dois Unidos,alto,2,2023,Tarde (12h-18h),0,0,-7.99664,-34.982349
305,Roubo a pedestre,Ibura,alto,1,2023,Manhã (6h-12h),1,1,-7.975033,-34.914793
306,Roubo a veículo,Boa Viagem,médio,6,2023,Madrugada (00h-6h),2,1,-7.995419,-34.785414
307,Roubo a veículo,Torre,médio,6,2023,Tarde (12h-18h),0,1,-8.143046,-34.874758
308,Tráfico de drogas,Ibura,alto,8,2023,Manhã (6h-12h),1,0,-8.005082,-35.003082
309,Furto,Graças,baixo,1,2023,Tarde (12h-18h),1,0,-7.970672,-34.921445
310,Roubo a pedestre,Água Fria,alto,4,2023,Tarde (12h-18h),1,1,-8.131473,-34.907791
311,Furto,Boa Viagem,médio,4,2023,Noite (18h-00h),0,1,-8.071639,-35.012756
312,Furto,Imbiribeira,médio,2,2022,Noite (18h-00h),1,0,-8.001996,-34.910734
313,Arrombamento,Boa Viagem,médio,5,2023,Manhã (6h-12h),2,1,-8.062828,-34.809284
314,Furto,Torre,médio,3,2023,Noite (18h-00h),1,0,-7.956164,-35.006818
315,Roubo a pedestre,Imbiribeira,médio,4,2023,Madrugada (00h-6h),0,0,-8.111319,-34.995473
316,Roubo a pedestre,Beberibe,alto,12,2023,Noite (18h-00h),0,0,-8.068517,-34.789928
317,Perturbação da ordem,Casa Forte,baixo,2,2022,Noite (18h-00h),0,0,-8.075982,-34.97243
318,Roubo a pedestre,Jordão,alto,8,2023,Noite (18h-00h),0,0,-8.103935,-34.819806
319,Roubo a pedestre,Água Fria,alto,2,2022,Tarde (12h-18h),1,0,-7.97203,-34.907071
320,Roubo a pedestre,Imbiribeira,médio,10,2023,Manhã (6h-12h),1,0,-8.042134,-34.952727
321,Lesão corporal,Torre,médio,2,2023,Noite (18h-00h),3,1,-8.062402,-34.980057
322,Roubo a pedestre,Espinheiro,baixo,6,2022,Manhã (6h-12h),0,0,-8.066276,-34.920123
323,Lesão corporal,Madalena,baixo,8,2023,Noite (18h-00h),1,0,-8.128961,-34.844941
324,Roubo a pedestre,Recife Antigo,médio,8,2022,Noite (18h-00h),0,0,-7.992872,-34.830863
325,Furto,Torre,médio,12,2022,Tarde (12h-18h),2,1,-8.022112,-34.821794
326,Roubo a veículo,Madalena,baixo,4,2023,Tarde (12h-18h),3,1,-8.1297,-35.00646
327,Furto,Boa Viagem,médio,12,2023,Tarde (12h-18h),0,0,-8.045282,-34.81215
328,Furto,Aflitos,baixo,10,2022,Tarde (12h-18h),3,0,-7.935869,-34.974855
329,Furto,Graças,baixo,6,2023,Noite (18h-00h),1,1,-8.109284,-34.796907
330,Furto,Boa Viagem,médio,2,2022,Tarde (12h-18h),1,0,-8.034216,-34.96461
331,Tráfico de drogas,Água Fria,alto,9,2023,Tarde (12h-18h),2,0,-8.116561,-34.944948
332,Furto,Imbiribeira,médio,5,2023,Manhã (6h-12h),1,0,-8.056071,-34.934494
333,Furto,Torre,médio,5,2023,Manhã (6h-12h),0,0,-7.9637,-34.786807
334,Roubo a veículo,Ibura,alto,6,2022,Noite (18h-00h),2,0,-8.153524,-34.957078
335,Furto,Imbiribeira,médio,11,2023,Manhã (6h-12h),0,1,-8.054756,-34.85505
336,Furto,Jordão,alto,6,2023,Noite (18h-00h),3,1,-8.071603,-34.9147
337,Perturbação da ordem,Graças,baixo,11,2023,Noite (18h-00h),0,1,-8.004709,-34.927264
338,Tráfico de drogas,Água Fria,alto,10,2023,Noite (18h-00h),0,0,-7.946685,-34.957141
339,Furto,Dois Unidos,alto,6,2022,Manhã (6h-12h),1,1,-8.067654,-34.806153
340,Roubo a veículo,Madalena,baixo,1,2023,Tarde (12h-18h),1,1,-7.954341,-34.83529
341,Tráfico de drogas,Dois Unidos,alto,11,2023,Madrugada (00h-6h),1,1,-7.962645,-34.979329
342,Furto,Água Fria,alto,3,2022,Manhã (6h-12h),1,1,-8.069293,-34.851871
343,Lesão corporal,Água Fria,alto,1,2022,Noite (18h-00h),1,0,-7.990808,-34.998401
344,Tráfico de drogas,Dois Unidos,alto,11,2022,Noite (18h-00h),1,1,-8.136172,-34.904342
345,Lesão corporal,Recife Antigo,médio,9,2023,Tarde (12h-18h),0,1,-8.000079,-34.824396
346,Perturbação da ordem,Boa Viagem,médio,4,2022,Noite (18h-00h),1,0,-8.049302,-34.940304
347,Roubo a pedestre,Espinheiro,baixo,4,2023,Noite (18h-00h),1,1,-8.116931,-34.877236
348,Lesão corporal,Jordão,alto,11,2022,Noite (18h-00h),3,0,-8.054621,-34.787039
349,Tráfico de drogas,Beberibe,alto,11,2022,Noite (18h-00h),1,0,-8.028169,-34.818645
350,Roubo a veículo,Madalena,baixo,7,2023,Tarde (12h-18h),1,0,-8.053861,-34.826599
351,Roubo a veículo,Casa Forte,baixo,3,2023,Manhã (6h-12h),1,0,-7.995762,-34.986776
352,Perturbação da ordem,Graças,baixo,3,2023,Tarde (12h-18h),0,0,-8.167255,-34.832088
353,Roubo a pedestre,Casa Forte,baixo,5,2023,Madrugada (00h-6h),1,1,-8.13932,-34.886969
354,Furto,Graças,baixo,1,2022,Madrugada (00h-6h),2,0,-7.999913,-35.013765
355,Roubo a veículo,Boa Viagem,médio,4,2023,Manhã (6h-12h),1,1,-8.026602,-34.97942
356,Roubo a pedestre,Jordão,alto,5,2023,Tarde (12h-18h),1,0,-8.083888,-34.889402
357,Roubo a veículo,Ibura,alto,2,2023,Tarde (12h-18h),0,0,-7.930376,-34.906311
358,Furto,Espinheiro,baixo,1,2022,Manhã (6h-12h),2,0,-8.009438,-34.935649
359,Roubo a pedestre,Jordão,alto,5,2023,Noite (18h-00h),1,0,-8.073326,-34.90628
360,Furto,Ibura,alto,12,2022,Noite (18h-00h),0,0,-8.080381,-34.889646
361,Furto,Casa Amarela,médio,12,2023,Tarde (12h-18h),1,0,-8.075383,-34.820157
362,Furto,Água Fria,alto,1,2023,Noite (18h-00h),3,1,-8.018372,-34.97536
363,Roubo a pedestre,Água Fria,alto,11,2022,Noite (18h-00h),1,1,-7.930483,-34.878962
364,Roubo a pedestre,Boa Viagem,médio,2,2022,Noite (18h-00h),2,1,-8.011846,-34.945314
365,Furto,Aflitos,baixo,7,2022,Manhã (6h-12h),1,0,-8.022628,-34.947996
366,Furto,Jordão,alto,10,2022,Madrugada (00h-6h),2,0,-8.042286,-34.836162
367,Furto,Dois Unidos,alto,6,2023,Noite (18h-00h),0,0,-7.973438,-34.950241
368,Arrombamento,Graças,baixo,6,2023,Noite (18h-00h),0,0,-8.050617,-34.924952
369,Furto,Beberibe,alto,1,2023,Tarde (12h-18h),2,0,-7.935649,-34.807255
370,Furto,Imbiribeira,médio,8,2022,Manhã (6h-12h),0,0,-7.944779,-34.876494
371,Furto,Aflitos,baixo,3,2022,Madrugada (00h-6h),0,1,-8.006586,-34.983999
372,Roubo a veículo,Casa Amarela,médio,3,2023,Madrugada (00h-6h),1,1,-8.061932,-34.995489
373,Roubo a veículo,Casa Amarela,médio,5,2023,Noite (18h-00h),0,0,-8.086995,-34.859365
374,Roubo a veículo,Dois Unidos,alto,5,2023,Noite (18h-00h),0,0,-8.075616,-34.855083
375,Roubo a veículo,Imbiribeira,médio,8,2022,Noite (18h-00h),1,0,-8.002002,-34.916921
376,Furto,Beberibe,alto,3,2023,Noite (18h-00h),1,1,-8.103518,-34.951381
377,Roubo a veículo,Torre,médio,11,2022,Noite (18h-00h),1,1,-7.934739,-34.993677
378,Lesão corporal,Casa Amarela,médio,5,2022,Madrugada (00h-6h),1,0,-8.036727,-34.843397
379,Roubo a pedestre,Aflitos,baixo,11,2023,Noite (18h-00h),1,0,-8.02532,-34.958825
380,Roubo a veículo,Recife Antigo,médio,12,2022,Tarde (12h-18h),2,1,-8.148828,-34.789507
381,Roubo a pedestre,Torre,médio,1,2023,Tarde (12h-18h),0,0,-8.167734,-34.816003
382,Arrombamento,Recife Antigo,médio,7,2022,Tarde (12h-18h),3,1,-8.007513,-35.015034
383,Furto,Torre,médio,2,2023,Manhã (6h-12h),1,0,-8.097379,-34.938941
384,Roubo a pedestre,Torre,médio,5,2022,Madrugada (00h-6h),0,1,-7.98491,-34.812452
385,Furto,Casa Forte,baixo,10,2023,Tarde (12h-18h),0,0,-7.951044,-34.80301
386,Furto,Casa Amarela,médio,9,2023,Tarde (12h-18h),1,0,-8.011802,-34.943408
387,Tráfico de drogas,Dois Unidos,alto,7,2022,Tarde (12h-18h),2,0,-8.139655,-34.830934
388,Roubo a veículo,Madalena,baixo,5,2023,Tarde (12h-18h),0,0,-8.145809,-34.954426
389,Tráfico de drogas,Dois Unidos,alto,8,2022,Noite (18h-00h),0,1,-7.941435,-34.965129
390,Furto,Jordão,alto,12,2022,Tarde (12h-18h),1,0,-7.988756,-34.799061
391,Furto,Dois Unidos,alto,6,2022,Manhã (6h-12h),0,0,-8.065203,-34.787444
392,Furto,Madalena,baixo,12,2023,Noite (18h-00h),1,0,-7.991492,-34.845564
393,Arrombamento,Aflitos,baixo,6,2022,Tarde (12h-18h),2,0,-8.113762,-34.878878
394,Furto,Espinheiro,baixo,7,2022,Manhã (6h-12h),0,1,-8.102207,-34.967198
395,Furto,Torre,médio,12,2022,Tarde (12h-18h),2,1,-7.942195,-35.00143
396,Homicídio,Boa Viagem,médio,9,2022,Tarde (12h-18h),0,0,-8.015988,-34.864597
397,Roubo a veículo,Espinheiro,baixo,4,2022,Tarde (12h-18h),0,1,-8.038296,-34.932473
398,Lesão corporal,Casa Forte,baixo,10,2022,Tarde (12h-18h),1,0,-8.146125,-34.953505
399,Roubo a pedestre,Imbiribeira,médio,4,2023,Noite (18h-00h),0,1,-8.03325,-34.858567
400,Furto,Boa Viagem,médio,12,2023,Noite (18h-00h),0,0,-8.127124,-34.919256
401,Lesão corporal,Casa Amarela,médio,3,2023,Manhã (6h-12h),3,0,-7.941416,-34.825196
402,Roubo a veículo,Água Fria,alto,3,2022,Madrugada (00h-6h),0,1,-8.112474,-34.826201
403,Roubo a veículo,Jordão,alto,9,2023,Tarde (12h-18h),1,1,-8.061818,-34.911228
404,Furto,Madalena,baixo,1,2023,Madrugada (00h-6h),0,1,-8.138241,-34.995877
405,Roubo a veículo,Aflitos,baixo,1,2023,Manhã (6h-12h),3,1,-8.095561,-34.853092
406,Furto,Beberibe,alto,4,2022,Madrugada (00h-6h),1,0,-8.091764,-34.819418
407,Roubo a pedestre,Água Fria,alto,3,2022,Manhã (6h-12h),1,0,-8.121749,-34.99531
408,Furto,Espinheiro,baixo,2,2023,Tarde (12h-18h),0,0,-7.946187,-34.922986
409,Furto,Ibura,alto,4,2022,Tarde (12h-18h),0,0,-8.048622,-34.795992
410,Roubo a pedestre,Casa Amarela,médio,4,2023,Manhã (6h-12h),0,1,-7.962492,-34.813238
411,Roubo a veículo,Casa Amarela,médio,5,2022,Noite (18h-00h),1,0,-7.997805,-34.923189
412,Arrombamento,Espinheiro,baixo,7,2023,Tarde (12h-18h),1,1,-7.950263,-35.005097
413,Roubo a pedestre,Ibura,alto,12,2023,Tarde (12h-18h),0,1,-8.090155,-34.97283
414,Roubo a pedestre,Boa Viagem,médio,12,2022,Noite (18h-00h),1,0,-8.111098,-34.952635
415,Furto,Madalena,baixo,12,2022,Noite (18h-00h),1,0,-7.944141,-34.794651
416,Tráfico de drogas,Graças,baixo,10,2022,Manhã (6h-12h),0,1,-8.124478,-35.007067
417,Tráfico de drogas,Água Fria,alto,9,2023,Noite (18h-00h),2,1,-7.983797,-34.812762
418,Furto,Água Fria,alto,12,2023,Manhã (6h-12h),1,1,-8.093169,-34.822819
419,Perturbação da ordem,Graças,baixo,12,2022,Madrugada (00h-6h),3,0,-8.119931,-34.919158
420,Furto,Recife Antigo,médio,7,2023,Madrugada (00h-6h),2,0,-7.978248,-34.952311
421,Roubo a pedestre,Jordão,alto,7,2022,Manhã (6h-12h),1,0,-8.130412,-34.794708
422,Roubo a veículo,Graças,baixo,8,2022,Tarde (12h-18h),1,1,-7.995071,-34.989104
423,Roubo a veículo,Beberibe,alto,12,2023,Noite (18h-00h),1,1,-8.042809,-34.780648
424,Lesão corporal,Água Fria,alto,5,2022,Madrugada (00h-6h),1,0,-8.105147,-34.970829
425,Lesão corporal,Casa Amarela,médio,5,2023,Madrugada (00h-6h),1,0,-8.015213,-35.014931
426,Furto,Aflitos,baixo,9,2023,Madrugada (00h-6h),1,1,-8.120265,-34.944539
427,Furto,Madalena,baixo,6,2022,Noite (18h-00h),1,0,-7.941034,-34.800105
428,Roubo a pedestre,Boa Viagem,médio,7,2023,Noite (18h-00h),0,0,-7.991379,-34.989192
429,Arrombamento,Madalena,baixo,3,2022,Manhã (6h-12h),2,0,-7.945979,-34.788051
430,Roubo a pedestre,Espinheiro,baixo,8,2023,Noite (18h-00h),1,0,-8.100103,-34.952152
431,Roubo a veículo,Casa Amarela,médio,8,2022,Madrugada (00h-6h),2,1,-8.08261,-35.012455
432,Furto,Aflitos,baixo,11,2023,Manhã (6h-12h),0,1,-8.103645,-34.88304
433,Lesão corporal,Aflitos,baixo,6,2023,Tarde (12h-18h),2,1,-7.933444,-34.839426
434,Furto,Torre,médio,8,2022,Noite (18h-00h),1,0,-8.141808,-34.957795
435,Perturbação da ordem,Boa Viagem,médio,10,2022,Manhã (6h-12h),1,0,-8.132438,-34.910337
436,Roubo a pedestre,Recife Antigo,médio,3,2023,Manhã (6h-12h),1,1,-7.998737,-34.938631
437,Roubo a pedestre,Recife Antigo,médio,10,2023,Noite (18h-00h),2,0,-8.095072,-34.883791
438,Furto,Casa Amarela,médio,11,2023,Tarde (12h-18h),0,0,-8.112443,-34.871287
439,Lesão corporal,Graças,baixo,11,2023,Madrugada (00h-6h),0,1,-8.123962,-34.87439
440,Furto,Jordão,alto,8,2023,Madrugada (00h-6h),1,0,-7.950633,-34.864515
441,Perturbação da ordem,Graças,baixo,2,2022,Madrugada (00h-6h),0,1,-7.932401,-34.957226
442,Roubo a pedestre,Jordão,alto,7,2023,Manhã (6h-12h),0,1,-8.1616,-34.941537
443,Furto,Beberibe,alto,3,2023,Manhã (6h-12h),3,1,-8.040916,-34.875243
444,Furto,Casa Amarela,médio,6,2022,Tarde (12h-18h),1,0,-7.992516,-34.975964
445,Perturbação da ordem,Torre,médio,12,2022,Noite (18h-00h),1,1,-8.040516,-34.826963
446,Roubo a pedestre,Dois Unidos,alto,4,2023,Noite (18h-00h),0,0,-7.943915,-34.87609
447,Furto,Casa Forte,baixo,9,2022,Madrugada (00h-6h),2,0,-7.975367,-34.888579
448,Furto,Água Fria,alto,9,2022,Noite (18h-00h),2,0,-8.118748,-35.006194
449,Roubo a pedestre,Beberibe,alto,10,2022,Noite (18h-00h),2,1,-8.02606,-34.932662
450,Furto,Torre,médio,8,2023,Noite (18h-00h),1,0,-7.989792,-35.00263
451,Perturbação da ordem,Graças,baixo,6,2022,Noite (18h-00h),1,1,-8.082656,-34.860496
452,Furto,Espinheiro,baixo,11,2022,Manhã (6h-12h),2,0,-8.083715,-34.964919
453,Roubo a pedestre,Espinheiro,baixo,9,2022,Tarde (12h-18h),0,0,-8.112129,-34.980346
454,Roubo a veículo,Espinheiro,baixo,5,2023,Tarde (12h-18h),0,0,-8.083546,-34.789406
455,Tráfico de drogas,Beberibe,alto,10,2023,Noite (18h-00h),0,0,-7.994223,-34.978939
456,Furto,Jordão,alto,4,2023,Noite (18h-00h),2,1,-8.066826,-34.914523
457,Roubo a pedestre,Jordão,alto,1,2022,Tarde (12h-18h),1,0,-8.096671,-34.950688
458,Furto,Imbiribeira,médio,6,2022,Noite (18h-00h),1,0,-8.03686,-34.894403
459,Furto,Boa Viagem,médio,6,2023,Manhã (6h-12h),2,0,-8.01977,-34.793417
460,Roubo a veículo,Jordão,alto,10,2022,Madrugada (00h-6h),1,0,-8.06952,-34.934764
461,Tráfico de drogas,Dois Unidos,alto,10,2023,Manhã (6h-12h),3,0,-8.015847,-34.913411
462,Roubo a pedestre,Beberibe,alto,4,2023,Madrugada (00h-6h),1,1,-8.088401,-34.941122
463,Arrombamento,Graças,baixo,4,2023,Manhã (6h-12h),1,0,-8.072083,-34.831372
464,Furto,Imbiribeira,médio,8,2023,Tarde (12h-18h),1,1,-8.131318,-34.906506
465,Perturbação da ordem,Casa Forte,baixo,9,2023,Manhã (6h-12h),1,1,-7.9871,-34.832199
466,Furto,Recife Antigo,médio,11,2023,Noite (18h-00h),0,0,-8.03429,-34.817028
467,Roubo a pedestre,Dois Unidos,alto,9,2022,Noite (18h-00h),1,0,-7.946198,-34.909558
468,Roubo a veículo,Jordão,alto,2,2023,Tarde (12h-18h),1,0,-7.936041,-34.994036
469,Furto,Água Fria,alto,8,2023,Madrugada (00h-6h),1,0,-8.019195,-35.019036
470,Roubo a pedestre,Beberibe,alto,4,2022,Madrugada (00h-6h),2,1,-8.010714,-34.845207
471,Furto,Beberibe,alto,10,2022,Madrugada (00h-6h),0,0,-7.984499,-34.834476
472,Furto,Ibura,alto,5,2022,Noite (18h-00h),2,0,-8.04808,-34.811065
473,Roubo a veículo,Aflitos,baixo,2,2023,Tarde (12h-18h),1,0,-7.956459,-34.867634
474,Roubo a veículo,Casa Forte,baixo,11,2022,Manhã (6h-12h),0,1,-8.128688,-34.887758
475,Tráfico de drogas,Aflitos,baixo,8,2023,Noite (18h-00h),1,0,-7.947058,-34.95581
476,Roubo a veículo,Casa Forte,baixo,9,2023,Noite (18h-00h),0,1,-7.982185,-34.930189
477,Lesão corporal,Ibura,alto,2,2023,Madrugada (00h-6h),1,0,-7.93434,-35.003006
478,Furto,Dois Unidos,alto,12,2022,Noite (18h-00h),1,0,-7.973523,-34.816818
479,Roubo a veículo,Aflitos,baixo,7,2023,Manhã (6h-12h),1,0,-8.07966,-34.894903
480,Tráfico de drogas,Jordão,alto,4,2023,Tarde (12h-18h),0,0,-8.151953,-34.846137
481,Furto,Graças,baixo,3,2023,Noite (18h-00h),1,0,-7.955375,-34.964344
482,Furto,Boa Viagem,médio,12,2022,Tarde (12h-18h),1,1,-8.029184,-34.920397
483,Furto,Dois Unidos,alto,3,2023,Madrugada (00h-6h),1,0,-8.089026,-34.94785
484,Lesão corporal,Casa Amarela,médio,1,2023,Tarde (12h-18h),0,1,-8.104662,-34.946592
485,Furto,Imbiribeira,médio,8,2023,Madrugada (00h-6h),2,0,-8.09203,-34.915489
486,Roubo a pedestre,Boa Viagem,médio,10,2022,Noite (18h-00h),0,0,-7.976519,-34.827386
487,Furto,Madalena,baixo,9,2023,Manhã (6h-12h),2,1,-8.04747,-35.00428
488,Roubo a veículo,Casa Forte,baixo,3,2022,Madrugada (00h-6h),0,0,-8.118659,-34.865354
489,Tráfico de drogas,Jordão,alto,6,2023,Noite (18h-00h),0,0,-8.014684,-34.983137
490,Homicídio,Beberibe,alto,10,2022,Tarde (12h-18h),2,0,-8.076335,-34.831149
491,Arrombamento,Graças,baixo,4,2022,Tarde (12h-18h),1,0,-8.14472,-34.897782
492,Furto,Boa Viagem,médio,8,2023,Tarde (12h-18h),0,1,-8.048844,-34.811763
493,Roubo a veículo,Dois Unidos,alto,7,2022,Noite (18h-00h),0,1,-8.134526,-34.786812
494,Roubo a pedestre,Casa Amarela,médio,12,2023,Noite (18h-00h),1,0,-8.058431,-34.836898
495,Furto,Água Fria,alto,11,2023,Tarde (12h-18h),0,0,-8.082701,-34.955222
496,Roubo a veículo,Água Fria,alto,6,2022,Manhã (6h-12h),0,0,-8.103404,-34.989456
497,Roubo a veículo,Dois Unidos,alto,6,2022,Noite (18h-00h),0,1,-8.077891,-35.015066
498,Perturbação da ordem,Recife Antigo,médio,7,2023,Manhã (6h-12h),1,1,-8.021192,-34.915021
499,Roubo a veículo,Aflitos,baixo,2,2023,Madrugada (00h-6h),0,0,-8.098901,-34.918919
500,Furto,Imbiribeira,médio,3,2022,Madrugada (00h-6h),0,1,-8.165855,-34.892534
501,Furto,Boa Viagem,médio,7,2023,Noite (18h-00h),1,0,-7.985511,-34.793957
502,Furto,Espinheiro,baixo,3,2022,Noite (18h-00h),0,0,-8.077592,-34.815521
503,Perturbação da ordem,Beberibe,alto,8,2022,Noite (18h-00h),1,0,-8.090912,-34.926646
504,Furto,Jordão,alto,7,2022,Tarde (12h-18h),1,0,-7.988238,-34.856699
505,Roubo a pedestre,Espinheiro,baixo,3,2023,Madrugada (00h-6h),1,0,-7.951489,-34.898309
506,Furto,Espinheiro,baixo,9,2023,Tarde (12h-18h),0,0,-8.009542,-34.889884
507,Tráfico de drogas,Água Fria,alto,7,2022,Manhã (6h-12h),2,0,-8.032668,-34.812366
508,Roubo a veículo,Madalena,baixo,11,2023,Manhã (6h-12h),2,1,-8.043996,-34.814427
509,Furto,Imbiribeira,médio,5,2022,Noite (18h-00h),0,0,-8.164039,-34.782942
510,Roubo a pedestre,Casa Forte,baixo,5,2022,Tarde (12h-18h),0,0,-8.044882,-34.816292
511,Roubo a pedestre,Jordão,alto,7,2022,Noite (18h-00h),1,0,-7.972368,-34.855173
512,Roubo a veículo,Imbiribeira,médio,4,2023,Noite (18h-00h),1,0,-8.147634,-34.970188
513,Furto,Casa Forte,baixo,11,2022,Tarde (12h-18h),1,0,-8.006863,-35.005519
514,Arrombamento,Boa Viagem,médio,9,2022,Noite (18h-00h),1,1,-8.040721,-34.868576
515,Furto,Recife Antigo,médio,6,2023,Manhã (6h-12h),3,0,-8.028161,-35.014499
516,Perturbação da ordem,Jordão,alto,4,2023,Noite (18h-00h),2,1,-8.009767,-34.880013
517,Roubo a pedestre,Ibura,alto,2,2022,Noite (18h-00h),1,0,-8.023434,-34.903632
518,Perturbação da ordem,Aflitos,baixo,6,2023,Madrugada (00h-6h),1,0,-8.02973,-34.91339
519,Roubo a veículo,Casa Forte,baixo,10,2022,Tarde (12h-18h),0,0,-8.135842,-34.920298
520,Lesão corporal,Água Fria,alto,1,2022,Noite (18h-00h),2,0,-7.96784,-34.911383
521,Furto,Espinheiro,baixo,5,2023,Tarde (12h-18h),0,0,-8.120131,-34.941935
522,Furto,Recife Antigo,médio,11,2022,Madrugada (00h-6h),1,0,-8.156494,-34.783396
523,Tráfico de drogas,Ibura,alto,11,2023,Madrugada (00h-6h),1,0,-8.140977,-34.902812
524,Tráfico de drogas,Torre,médio,5,2023,Madrugada (00h-6h),0,0,-8.011476,-34.88143
525,Furto,Água Fria,alto,3,2022,Tarde (12h-18h),1,0,-8.13142,-34.816147
526,Furto,Casa Amarela,médio,4,2022,Tarde (12h-18h),1,0,-8.112358,-34.807483
527,Tráfico de drogas,Ibura,alto,6,2023,Noite (18h-00h),1,0,-8.161599,-34.802284
528,Furto,Casa Forte,baixo,10,2023,Noite (18h-00h),2,0,-8.07164,-34.804464
529,Roubo a veículo,Boa Viagem,médio,7,2022,Tarde (12h-18h),1,0,-8.019228,-34.853846
530,Roubo a pedestre,Casa Forte,baixo,10,2023,Noite (18h-00h),0,1,-8.116128,-34.922171
531,Furto,Ibura,alto,5,2023,Noite (18h-00h),1,1,-7.96881,-34.849412
532,Perturbação da ordem,Água Fria,alto,12,2022,Madrugada (00h-6h),1,0,-8.111988,-34.951342
533,Roubo a veículo,Torre,médio,8,2022,Manhã (6h-12h),2,1,-8.002075,-34.879932
534,Tráfico de drogas,Água Fria,alto,12,2023,Tarde (12h-18h),1,0,-8.162018,-35.017183
535,Roubo a veículo,Imbiribeira,médio,11,2023,Tarde (12h-18h),0,0,-8.161854,-34.837924
536,Furto,Boa Viagem,médio,8,2023,Tarde (12h-18h),1,0,-8.086351,-34.810071
537,Furto,Casa Amarela,médio,6,2023,Tarde (12h-18h),1,0,-8.135738,-34.927159
538,Perturbação da ordem,Aflitos,baixo,12,2023,Noite (18h-00h),1,0,-8.025837,-35.010506
539,Furto,Casa Forte,baixo,1,2022,Manhã (6h-12h),2,0,-8.065439,-34.924937
540,Furto,Água Fria,alto,12,2023,Madrugada (00h-6h),2,0,-8.072144,-34.972834
541,Roubo a pedestre,Ibura,alto,11,2022,Tarde (12h-18h),0,0,-8.116889,-34.943188
542,Roubo a veículo,Jordão,alto,2,2022,Tarde (12h-18h),0,1,-8.144878,-34.793694
543,Tráfico de drogas,Madalena,baixo,10,2022,Tarde (12h-18h),0,0,-7.971115,-34.936901
544,Roubo a veículo,Aflitos,baixo,8,2023,Noite (18h-00h),1,0,-7.994262,-35.001599
545,Tráfico de drogas,Casa Amarela,médio,12,2022,Noite (18h-00h),0,0,-8.059951,-34.959881
546,Roubo a veículo,Torre,médio,8,2022,Noite (18h-00h),1,0,-7.938174,-34.93706
