id,tipo_obra,bairro,secretaria,status,data_inicio,prazo_previsto,valor_contrato_r$,percentual_executado,empresa_contratada,numero_licenca,area_construcao_m2,atraso
171,Esgotamento sanitário,Madalena,CTTU,Concluída,2021-09-07,2022-05-19,2620138.88,82.0,Construtora K Ltda,LIC-2023-10170,1104.4,0
172,Iluminação pública,Afogados,EMLURB,Paralisada,2021-08-17,2021-12-01,2632356.94,16.4,Construtora L Ltda,LIC-2024-10171,2023.2,1625
173,Praça pública,Torre,SEINFRA,Paralisada,2021-02-24,2023-02-12,3205965.61,10.1,Construtora M Ltda,LIC-2021-10172,165.2,1187
174,Praça pública,Recife Antigo,EMLURB,Paralisada,2021-07-14,2022-10-07,590829.45,12.1,Construtora N Ltda,LIC-2022-10173,4971.7,1315
175,Construção de escola,Madalena,CTTU,Concluída,2021-07-15,2022-05-18,690030.97,95.5,Construtora O Ltda,LIC-2023-10174,3631.5,0
176,Calçamento,Casa Forte,Secretaria de Saúde,Licitação,2021-03-12,2022-08-07,4980886.72,30.4,Construtora P Ltda,LIC-2024-10175,1838.3,1376
177,Iluminação pública,Boa Viagem,Secretaria de Educação,Paralisada,2021-04-09,2022-07-28,4915310.76,27.2,Construtora Q Ltda,LIC-2021-10176,1854.1,1386
178,Drenagem pluvial,Cordeiro,Secretaria de Educação,Licitação,2021-11-10,2023-01-02,2450350.08,24.9,Construtora R Ltda,LIC-2022-10177,848.5,1228
179,Ciclovia,Casa Forte,EMLURB,Em andamento,2021-05-28,2022-09-24,472135.67,44.6,Construtora S Ltda,LIC-2023-10178,2700.2,1328
180,Drenagem pluvial,Cordeiro,Secretaria de Educação,Em andamento,2021-06-21,2023-05-08,3303650.95,16.6,Construtora T Ltda,LIC-2024-10179,1325.1,1102
181,Calçamento,Afogados,Secretaria de Saúde,Concluída,2021-02-19,2021-10-13,969034.2,89.0,Construtora A Ltda,LIC-2021-10180,3979.2,0
182,Reforma de UBS,Afogados,Secretaria de Saúde,Em andamento,2021-03-20,2023-03-02,3358866.73,70.6,Construtora B Ltda,LIC-2022-10181,3494.7,1169
183,Construção de escola,Monteiro,EMLURB,Em andamento,2021-09-03,2023-02-24,2797565.77,20.9,Construtora C Ltda,LIC-2023-10182,2418.9,1175
184,Construção de escola,Madalena,EMLURB,Licitação,2021-09-02,2023-04-10,4532043.53,28.0,Construtora D Ltda,LIC-2024-10183,2743.8,1130
185,Reforma de UBS,Monteiro,Secretaria de Saúde,Paralisada,2021-12-01,2022-08-12,2366404.02,22.5,Construtora E Ltda,LIC-2021-10184,1937.3,1371
186,Pavimentação,Boa Viagem,CTTU,Concluída,2021-07-22,2022-01-05,3203352.53,92.7,Construtora F Ltda,LIC-2022-10185,324.8,0
187,Pavimentação,Afogados,Secretaria de Saúde,Licitação,2021-12-11,2022-06-15,2449144.0,35.9,Construtora G Ltda,LIC-2023-10186,3163.9,1429
188,Construção de escola,Pina,Secretaria de Saúde,Paralisada,2021-06-04,2022-09-11,2398940.96,21.0,Construtora H Ltda,LIC-2024-10187,1775.6,1341
189,Praça pública,Imbiribeira,CTTU,Paralisada,2021-05-18,2021-10-08,1499769.98,33.1,Construtora I Ltda,LIC-2021-10188,4923.0,1679
190,Ciclovia,Encruzilhada,Secretaria de Educação,Licitação,2021-09-12,2022-07-07,3970158.12,13.2,Construtora J Ltda,LIC-2022-10189,725.1,1407
191,Ponte/viaduto,Boa Vista,SEINFRA,Licitação,2021-11-03,2022-03-14,3627248.85,35.4,Construtora K Ltda,LIC-2023-10190,2052.6,1522
192,Pavimentação,Casa Forte,CTTU,Concluída,2021-02-01,2021-06-18,4118708.06,89.5,Construtora L Ltda,LIC-2024-10191,4558.1,0
193,Esgotamento sanitário,Apipucos,SEINFRA,Concluída,2021-10-13,2023-10-04,3152730.62,93.9,Construtora M Ltda,LIC-2021-10192,1141.3,0
194,Pavimentação,Torre,SEINFRA,Concluída,2021-11-21,2023-06-02,551740.07,83.6,Construtora N Ltda,LIC-2022-10193,4579.0,0
195,Reforma de UBS,Monteiro,Secretaria de Educação,Concluída,2021-11-01,2023-02-11,3943373.24,91.2,Construtora O Ltda,LIC-2023-10194,1005.4,0
196,Pavimentação,Madalena,CTTU,Licitação,2021-01-11,2021-05-01,2853346.69,23.1,Construtora P Ltda,LIC-2024-10195,2658.6,1839
197,Praça pública,Boa Vista,CTTU,Licitação,2021-02-25,2022-07-31,2260034.87,0.6,Construtora Q Ltda,LIC-2021-10196,4966.3,1383
198,Iluminação pública,Afogados,EMLURB,Licitação,2021-11-05,2023-06-04,2766586.15,3.3,Construtora R Ltda,LIC-2022-10197,3171.8,1075
199,Construção de escola,Monteiro,SEINFRA,Em andamento,2021-07-01,2021-10-08,4933908.71,67.8,Construtora S Ltda,LIC-2023-10198,731.9,1679
200,Pavimentação,Imbiribeira,EMLURB,Concluída,2021-01-09,2022-11-12,2281344.56,94.9,Construtora T Ltda,LIC-2024-10199,3675.6,0
201,Reforma de UBS,Apipucos,SEINFRA,Licitação,2021-02-10,2022-12-02,2329869.62,37.3,Construtora A Ltda,LIC-2021-10200,3614.3,1259
202,Esgotamento sanitário,Santo Amaro,Secretaria de Saúde,Em andamento,2021-01-02,2021-04-17,1975296.01,24.7,Construtora B Ltda,LIC-2022-10201,3083.8,1853
203,Drenagem pluvial,Imbiribeira,EMLURB,Licitação,2021-06-12,2023-04-21,2375520.11,6.7,Construtora C Ltda,LIC-2023-10202,3185.6,1119
204,Esgotamento sanitário,Imbiribeira,Secretaria de Educação,Licitação,2021-07-16,2022-11-12,4727363.62,31.4,Construtora D Ltda,LIC-2024-10203,1471.5,1279
205,Pavimentação,Monteiro,EMLURB,Paralisada,2021-10-21,2023-09-25,4354313.15,29.0,Construtora E Ltda,LIC-2021-10204,3045.6,962
206,Esgotamento sanitário,Casa Forte,EMLURB,Concluída,2021-05-19,2022-10-29,1914550.42,93.7,Construtora F Ltda,LIC-2022-10205,4056.7,0
207,Esgotamento sanitário,Apipucos,SEINFRA,Paralisada,2021-05-23,2021-08-22,1352070.54,16.9,Construtora G Ltda,LIC-2023-10206,1513.8,1726
208,Ponte/viaduto,Cordeiro,Secretaria de Saúde,Concluída,2021-03-26,2023-01-30,1405550.98,97.0,Construtora H Ltda,LIC-2024-10207,1799.6,0
209,Construção de escola,Pina,CTTU,Licitação,2021-02-18,2022-12-06,3997073.47,8.0,Construtora I Ltda,LIC-2021-10208,382.0,1255
210,Praça pública,Madalena,CTTU,Paralisada,2021-07-15,2022-05-12,2952622.28,0.4,Construtora J Ltda,LIC-2022-10209,529.7,1463
211,Reforma de UBS,Apipucos,CTTU,Concluída,2021-06-25,2021-11-26,2021023.4,90.4,Construtora K Ltda,LIC-2023-10210,1672.9,0
212,Reforma de UBS,Imbiribeira,CTTU,Concluída,2021-09-19,2022-07-12,1102833.56,81.8,Construtora L Ltda,LIC-2024-10211,2865.7,0
213,Iluminação pública,Imbiribeira,SEINFRA,Concluída,2021-07-25,2023-04-05,1269208.96,98.5,Construtora M Ltda,LIC-2021-10212,1921.2,0
214,Reforma de UBS,Recife Antigo,CTTU,Concluída,2021-08-26,2022-02-15,1613157.85,80.6,Construtora N Ltda,LIC-2022-10213,200.8,0
215,Reforma de UBS,Torre,SEINFRA,Licitação,2021-01-07,2022-11-07,2954219.27,8.5,Construtora O Ltda,LIC-2023-10214,4737.8,1284
216,Construção de escola,Santo Amaro,Secretaria de Saúde,Concluída,2021-10-27,2023-10-10,1307277.91,80.8,Construtora P Ltda,LIC-2024-10215,509.9,0
217,Drenagem pluvial,Monteiro,CTTU,Paralisada,2021-01-02,2022-10-24,4359801.25,18.3,Construtora Q Ltda,LIC-2021-10216,3235.2,1298
218,Drenagem pluvial,Apipucos,CTTU,Paralisada,2021-02-23,2021-08-24,1627617.39,9.3,Construtora R Ltda,LIC-2022-10217,2026.3,1724
219,Construção de escola,Santo Amaro,SEINFRA,Paralisada,2021-08-28,2022-05-08,4830554.02,39.7,Construtora S Ltda,LIC-2023-10218,4714.4,1467
220,Ponte/viaduto,Encruzilhada,Secretaria de Saúde,Em andamento,2021-06-02,2023-03-20,4194228.62,3.7,Construtora T Ltda,LIC-2024-10219,373.3,1151
221,Esgotamento sanitário,Madalena,SEINFRA,Concluída,2021-03-11,2021-06-14,3400601.4,86.0,Construtora A Ltda,LIC-2021-10220,2406.6,0
222,Iluminação pública,Afogados,EMLURB,Em andamento,2021-06-09,2022-10-11,1906166.59,30.0,Construtora B Ltda,LIC-2022-10221,4580.1,1311
223,Drenagem pluvial,Apipucos,CTTU,Em andamento,2021-01-15,2021-10-31,826933.06,65.8,Construtora C Ltda,LIC-2023-10222,4347.1,1656
224,Pavimentação,Cordeiro,SEINFRA,Em andamento,2021-12-05,2023-06-05,4633402.44,30.4,Construtora D Ltda,LIC-2024-10223,2316.4,1074
225,Ciclovia,Afogados,SEINFRA,Licitação,2021-06-11,2022-05-06,622271.42,14.6,Construtora E Ltda,LIC-2021-10224,983.2,1469
226,Praça pública,Afogados,EMLURB,Licitação,2021-08-18,2022-04-13,4360079.56,10.7,Construtora F Ltda,LIC-2022-10225,224.6,1492
227,Drenagem pluvial,Imbiribeira,Secretaria de Saúde,Paralisada,2021-10-27,2022-11-24,4030514.92,10.4,Construtora G Ltda,LIC-2023-10226,4525.5,1267
228,Construção de escola,Recife Antigo,Secretaria de Saúde,Em andamento,2021-02-05,2022-10-13,3173453.74,62.2,Construtora H Ltda,LIC-2024-10227,4192.9,1309
229,Construção de escola,Apipucos,EMLURB,Paralisada,2021-02-09,2021-12-02,2188694.47,10.5,Construtora I Ltda,LIC-2021-10228,578.1,1624
230,Calçamento,Cordeiro,SEINFRA,Em andamento,2021-05-14,2022-01-25,4169999.8,77.3,Construtora J Ltda,LIC-2022-10229,2266.3,1570
231,Ponte/viaduto,Pina,EMLURB,Concluída,2021-09-11,2023-05-17,2242890.77,95.8,Construtora K Ltda,LIC-2023-10230,1864.5,0
232,Calçamento,Recife Antigo,EMLURB,Paralisada,2021-01-14,2021-11-23,2878132.24,5.5,Construtora L Ltda,LIC-2024-10231,3586.9,1633
233,Reforma de UBS,Santo Amaro,EMLURB,Em andamento,2021-04-20,2021-10-08,4452160.29,57.7,Construtora M Ltda,LIC-2021-10232,771.5,1679
234,Ponte/viaduto,Torre,SEINFRA,Paralisada,2021-11-23,2022-09-05,1051339.66,2.6,Construtora N Ltda,LIC-2022-10233,2640.5,1347
235,Iluminação pública,Santo Amaro,Secretaria de Educação,Licitação,2021-06-11,2022-06-24,497133.45,16.4,Construtora O Ltda,LIC-2023-10234,1316.9,1420
236,Esgotamento sanitário,Monteiro,SEINFRA,Em andamento,2021-10-27,2023-02-04,859266.0,29.3,Construtora P Ltda,LIC-2024-10235,1845.2,1195
237,Ciclovia,Casa Forte,Secretaria de Saúde,Em andamento,2021-08-17,2022-01-27,1815755.25,19.3,Construtora Q Ltda,LIC-2021-10236,2923.9,1568
238,Ponte/viaduto,Santo Amaro,SEINFRA,Licitação,2021-01-10,2021-07-29,2259872.4,1.0,Construtora R Ltda,LIC-2022-10237,1293.3,1750
239,Ponte/viaduto,Monteiro,SEINFRA,Concluída,2021-02-08,2023-02-01,881008.14,86.2,Construtora S Ltda,LIC-2023-10238,195.3,0
240,Esgotamento sanitário,Madalena,CTTU,Paralisada,2021-12-24,2022-10-09,137552.38,24.0,Construtora T Ltda,LIC-2024-10239,1268.0,1313
241,Drenagem pluvial,Madalena,Secretaria de Saúde,Em andamento,2021-08-04,2022-10-27,3599635.8,3.6,Construtora A Ltda,LIC-2021-10240,2970.9,1295
242,Esgotamento sanitário,Afogados,EMLURB,Em andamento,2021-05-04,2021-12-04,2057970.06,10.8,Construtora B Ltda,LIC-2022-10241,821.4,1622
243,Praça pública,Encruzilhada,Secretaria de Saúde,Concluída,2021-10-15,2023-02-23,4743562.27,80.4,Construtora C Ltda,LIC-2023-10242,3025.5,0
244,Ciclovia,Imbiribeira,Secretaria de Saúde,Licitação,2021-10-17,2022-02-21,4853934.39,2.1,Construtora D Ltda,LIC-2024-10243,1277.8,1543
245,Pavimentação,Imbiribeira,CTTU,Paralisada,2021-06-23,2022-12-11,4084463.84,33.9,Construtora E Ltda,LIC-2021-10244,818.5,1250
246,Drenagem pluvial,Recife Antigo,EMLURB,Licitação,2021-11-12,2022-10-23,3332436.03,0.5,Construtora F Ltda,LIC-2022-10245,439.4,1299
247,Praça pública,Casa Forte,Secretaria de Saúde,Em andamento,2021-07-07,2023-03-05,1166118.32,33.2,Construtora G Ltda,LIC-2023-10246,3202.7,1166
248,Ponte/viaduto,Casa Forte,SEINFRA,Paralisada,2021-01-02,2022-12-28,4593750.17,24.9,Construtora H Ltda,LIC-2024-10247,3144.2,1233
249,Reforma de UBS,Derby,Secretaria de Educação,Em andamento,2021-05-04,2023-01-16,2196771.8,75.1,Construtora I Ltda,LIC-2021-10248,1803.0,1214
250,Calçamento,Madalena,SEINFRA,Paralisada,2021-03-04,2021-08-02,468146.6,23.6,Construtora J Ltda,LIC-2022-10249,2607.0,1746
251,Ponte/viaduto,Pina,Secretaria de Saúde,Paralisada,2021-05-14,2023-03-26,1406854.45,29.4,Construtora K Ltda,LIC-2023-10250,3088.8,1145
252,Ponte/viaduto,Pina,CTTU,Concluída,2021-10-08,2023-02-05,2765441.92,87.3,Construtora L Ltda,LIC-2024-10251,2441.5,0
253,Praça pública,Boa Vista,Secretaria de Saúde,Paralisada,2021-05-01,2022-04-04,1146823.95,20.5,Construtora M Ltda,LIC-2021-10252,158.2,1501
254,Reforma de UBS,Apipucos,EMLURB,Paralisada,2021-06-06,2022-05-06,2805433.32,19.7,Construtora N Ltda,LIC-2022-10253,1548.0,1469
255,Pavimentação,Recife Antigo,Secretaria de Saúde,Em andamento,2021-01-06,2022-10-22,3049325.06,27.5,Construtora O Ltda,LIC-2023-10254,4188.2,1300
256,Calçamento,Torre,Secretaria de Educação,Concluída,2021-06-24,2022-01-11,4947068.22,93.6,Construtora P Ltda,LIC-2024-10255,3374.4,0
257,Iluminação pública,Pina,EMLURB,Paralisada,2021-03-22,2022-01-13,4114908.53,20.7,Construtora Q Ltda,LIC-2021-10256,2123.9,1582
258,Esgotamento sanitário,Santo Amaro,Secretaria de Saúde,Em andamento,2021-02-01,2022-06-26,2514521.78,76.1,Construtora R Ltda,LIC-2022-10257,4264.7,1418
259,Iluminação pública,Pina,Secretaria de Educação,Em andamento,2021-05-28,2023-05-24,1928833.51,35.7,Construtora S Ltda,LIC-2023-10258,1535.3,1086
260,Iluminação pública,Torre,Secretaria de Saúde,Licitação,2021-07-17,2023-05-06,3258595.87,0.3,Construtora T Ltda,LIC-2024-10259,1570.1,1104
261,Drenagem pluvial,Monteiro,Secretaria de Educação,Licitação,2021-09-10,2022-05-06,2898392.37,23.3,Construtora A Ltda,LIC-2021-10260,1686.9,1469
262,Pavimentação,Boa Viagem,SEINFRA,Paralisada,2021-10-27,2022-09-30,1061332.18,17.1,Construtora B Ltda,LIC-2022-10261,1357.1,1322
263,Ponte/viaduto,Monteiro,CTTU,Paralisada,2021-08-10,2023-05-11,2715573.05,39.9,Construtora C Ltda,LIC-2023-10262,3662.9,1099
264,Iluminação pública,Boa Viagem,SEINFRA,Paralisada,2021-07-13,2023-01-29,251524.05,27.0,Construtora D Ltda,LIC-2024-10263,2673.7,1201
265,Calçamento,Apipucos,EMLURB,Licitação,2021-02-14,2022-06-02,3260254.86,37.1,Construtora E Ltda,LIC-2021-10264,4825.9,1442
266,Drenagem pluvial,Santo Amaro,Secretaria de Educação,Paralisada,2021-08-13,2023-02-04,3473311.75,29.9,Construtora F Ltda,LIC-2022-10265,1658.6,1195
267,Ciclovia,Monteiro,CTTU,Concluída,2021-02-27,2022-04-11,597033.08,97.9,Construtora G Ltda,LIC-2023-10266,4451.9,0
268,Construção de escola,Torre,EMLURB,Paralisada,2021-07-21,2022-03-28,4090005.41,8.3,Construtora H Ltda,LIC-2024-10267,394.8,1508
269,Pavimentação,Encruzilhada,Secretaria de Saúde,Paralisada,2021-10-20,2022-05-07,2870841.54,25.3,Construtora I Ltda,LIC-2021-10268,152.6,1468
270,Drenagem pluvial,Boa Vista,SEINFRA,Em andamento,2021-01-10,2022-10-28,4589308.91,31.4,Construtora J Ltda,LIC-2022-10269,3373.7,1294
271,Ponte/viaduto,Santo Amaro,CTTU,Paralisada,2021-04-06,2022-11-26,4362134.41,35.8,Construtora K Ltda,LIC-2023-10270,1072.9,1265
272,Pavimentação,Derby,SEINFRA,Concluída,2021-10-04,2022-05-30,2616198.0,90.2,Construtora L Ltda,LIC-2024-10271,935.6,0
273,Pavimentação,Cordeiro,CTTU,Licitação,2021-09-16,2023-04-07,4042670.35,2.5,Construtora M Ltda,LIC-2021-10272,1681.8,1133
274,Drenagem pluvial,Monteiro,CTTU,Paralisada,2021-12-08,2023-03-05,888602.39,10.7,Construtora N Ltda,LIC-2022-10273,408.8,1166
275,Praça pública,Boa Vista,SEINFRA,Licitação,2021-04-15,2023-04-13,146764.29,8.8,Construtora O Ltda,LIC-2023-10274,2254.2,1127
276,Calçamento,Imbiribeira,SEINFRA,Concluída,2021-10-08,2022-09-18,267694.86,98.6,Construtora P Ltda,LIC-2024-10275,4504.5,0
277,Drenagem pluvial,Afogados,Secretaria de Saúde,Paralisada,2021-08-10,2023-01-10,4802143.5,19.8,Construtora Q Ltda,LIC-2021-10276,3407.1,1220
278,Pavimentação,Casa Forte,EMLURB,Paralisada,2021-10-08,2023-03-05,2023059.8,28.5,Construtora R Ltda,LIC-2022-10277,528.6,1166
279,Praça pública,Recife Antigo,Secretaria de Educação,Concluída,2021-03-12,2022-07-03,87776.57,97.6,Construtora S Ltda,LIC-2023-10278,662.9,0
280,Drenagem pluvial,Torre,Secretaria de Educação,Paralisada,2021-09-28,2023-01-25,2045820.55,2.6,Construtora T Ltda,LIC-2024-10279,2813.8,1205
281,Reforma de UBS,Cordeiro,SEINFRA,Paralisada,2021-07-07,2023-01-26,1755171.29,17.4,Construtora A Ltda,LIC-2021-10280,1773.0,1204
282,Calçamento,Recife Antigo,Secretaria de Saúde,Em andamento,2021-03-08,2021-10-16,1021666.46,43.0,Construtora B Ltda,LIC-2022-10281,2388.6,1671
283,Esgotamento sanitário,Afogados,Secretaria de Educação,Paralisada,2021-04-06,2022-07-16,1121557.01,16.2,Construtora C Ltda,LIC-2023-10282,4759.6,1398
284,Reforma de UBS,Boa Vista,Secretaria de Saúde,Licitação,2021-09-07,2022-07-26,3392747.22,37.7,Construtora D Ltda,LIC-2024-10283,2979.1,1388
285,Drenagem pluvial,Cordeiro,CTTU,Licitação,2021-06-18,2022-05-26,3060607.94,8.5,Construtora E Ltda,LIC-2021-10284,548.2,1449
286,Reforma de UBS,Boa Viagem,Secretaria de Saúde,Em andamento,2021-05-24,2022-09-20,3304731.27,44.8,Construtora F Ltda,LIC-2022-10285,3582.5,1332
287,Drenagem pluvial,Recife Antigo,Secretaria de Educação,Paralisada,2021-12-06,2022-10-29,982156.42,35.7,Construtora G Ltda,LIC-2023-10286,4045.4,1293
288,Praça pública,Pina,Secretaria de Educação,Paralisada,2021-05-07,2021-10-11,485303.64,11.5,Construtora H Ltda,LIC-2024-10287,2076.6,1676
289,Ciclovia,Apipucos,Secretaria de Saúde,Paralisada,2021-08-25,2022-04-07,923147.5,14.7,Construtora I Ltda,LIC-2021-10288,223.8,1498
290,Drenagem pluvial,Santo Amaro,Secretaria de Educação,Concluída,2021-12-23,2023-07-09,4999700.6,88.0,Construtora J Ltda,LIC-2022-10289,664.6,0
291,Praça pública,Afogados,Secretaria de Educação,Em andamento,2021-10-24,2022-09-03,2053078.88,48.1,Construtora K Ltda,LIC-2023-10290,865.3,1349
292,Esgotamento sanitário,Monteiro,EMLURB,Paralisada,2021-12-02,2023-09-18,3165805.15,37.7,Construtora L Ltda,LIC-2024-10291,2893.8,969
293,Pavimentação,Derby,Secretaria de Educação,Licitação,2021-12-17,2022-12-02,3367161.89,23.0,Construtora M Ltda,LIC-2021-10292,4515.2,1259
294,Ciclovia,Afogados,Secretaria de Educação,Concluída,2021-10-20,2022-03-07,3421291.78,80.7,Construtora N Ltda,LIC-2022-10293,3772.7,0
295,Praça pública,Madalena,Secretaria de Educação,Concluída,2021-02-14,2022-06-22,1441770.18,81.8,Construtora O Ltda,LIC-2023-10294,3488.9,0
296,Construção de escola,Torre,CTTU,Licitação,2021-12-23,2023-12-23,2567858.65,27.1,Construtora P Ltda,LIC-2024-10295,4248.2,873
297,Ponte/viaduto,Pina,EMLURB,Em andamento,2021-03-16,2021-12-24,4763880.37,65.2,Construtora Q Ltda,LIC-2021-10296,2777.4,1602
298,Ciclovia,Imbiribeira,Secretaria de Saúde,Paralisada,2021-11-08,2023-08-16,1285965.81,2.4,Construtora R Ltda,LIC-2022-10297,553.4,1002
299,Iluminação pública,Afogados,EMLURB,Concluída,2021-11-10,2022-06-28,3446848.24,89.7,Construtora S Ltda,LIC-2023-10298,128.8,0
300,Calçamento,Boa Vista,CTTU,Paralisada,2021-12-15,2022-07-29,3505346.99,5.3,Construtora T Ltda,LIC-2024-10299,1279.8,1385
